STATION,LAT,LON,ELEV,DATE,PRCP,TMAX,TMIN,SNOW,SNWD
USC00021026,33.3761,-112.5828,271.3,723438,0,411,261,0,0
USC00080228,27.2178,-81.8742,7.6,723158,0,233,106,0,0
USC00428119,40.08,-111.6047,1438.7,731527,84,22,-11,76,25
USC00057936,40.4883,-106.8233,2092.8,728513,0,267,6,0,0
USC00021614,34.3494,-111.6981,807.7,725252,122,322,150,0,0
USC00027716,35.3322,-112.8797,1600.2,730150,3,83,-11,0,0
USC00444876,37.7767,-79.4386,334.4,733501,0,183,-22,0,0
USC00053038,40.2569,-103.87,1333.8,735140,8,344,156,0,0
USC00026796,34.5706,-112.4322,1586.5,733803,0,61,-78,0,0
USC00013816,31.8814,-86.2503,132.0,726548,0,217,89,0,0
USC00437612,44.0725,-72.9736,408.7,736263,0,144,83,0,0
USC00051564,38.8222,-102.3503,1309.1,732502,0,367,200,0,0
USC00024645,35.2,-114.0167,1078.7,722949,0,161,83,0,0
USC00027716,35.3322,-112.8797,1600.2,731945,0,106,-100,0,0
USC00432769,44.9094,-72.8083,128.0,731468,0,217,100,0,0
